,review_id,compound_unclean
285,R21R3WW9OCDVYE,0.765
286,R226MHGWFL43AZ,-0.827
287,R2V28UNWER4583,0.4215
288,R6FD8HQTSD88O,0.6588
289,R14FW5HILO46S0,-0.3702
290,R1RRNK68CSBBOE,-0.7306
291,R12T6MQ6SMHAPK,0.8745
292,RZKJ9B5Q749WA,0.743
293,R3PXXLXNMOEUMF,0.9249
294,R2IY4CE8VLPTJJ,0.6588
295,R30S8EQAXDPE0T,0.0
296,R2PXZLI7HVC2KJ,0.8316
297,R28A4J68L184B3,0.0
298,R2OTFWUC33J2RK,0.0
299,R2LHZYSUVJ0DIY,0.6124
300,R1Q1DMVAKV0PA3,-0.4939
301,R3IO29LYC3C64A,0.6461
302,R2IC3QN4JJ67P5,-0.5707
303,RERRISE94H2O6,0.0
304,R3VOJK777371YN,0.0
305,R1EQR7AC65MJ57,0.794
306,R15DW8TP6PYKXQ,0.6249
307,R314F1DVRDWTTF,0.4215
308,RL8B72WJEZKUO,0.9001
309,R1DW6NVZ10VBWE,-0.3041
310,R24X384TUWR84J,0.9364
311,R18UEDTIGLZFTD,0.3612
312,R2LXISLVU03D1O,0.8689
313,R1DBTNDRNHJEU8,0.2023
314,R28ZKVUHCXI34I,0.8715
315,RBIGJW4HRXE4V,0.8957
316,R24043XL4797KY,0.8791
317,R1I5I2318M3B9R,0.0
318,R24810Q3ZRRTLZ,-0.7008
319,R1M4PNCKMW31FE,0.7506
320,R3F2LCNNLVDE71,0.0
321,R2OQYLSLE5QE9P,0.5383
322,R30DTC8PFT3O6M,0.8211
323,R2XX5W3PADIA88,0.836
324,R275TOKV40U353,0.864
325,R1LAM8T6FGKZF1,0.9142
326,R3KY22KCH3IL7K,0.8525
327,RTN1JHWIWIGYK,0.4215
328,R2GXN7E5UV5Y4F,0.8036
329,RJWLU4GT90TD6,-0.2582
330,R2ES60TLKTNJLK,0.1655
331,R2TP91G18Q7WQV,-0.3855
332,R3P25JARZNPUV3,0.6892
333,RVDX6AYTINO2K,0.6908
334,R3BAG7DY4PV1OW,0.9
335,R3O16Q0LZ2T497,0.2105
336,R32RZI4INALUXU,0.9244
337,R7WJTGGIOFYCJ,-0.1689
338,R3UOMD87R27SOU,0.8115
339,R1IIRAVJ75JJHT,0.9056
340,R3GBJN6A9T1M1A,-0.0516
341,R2HX4VASQC4S8Q,-0.7672
342,RYFTIY71ZLBU3,0.0
343,RAXLUANX890H,-0.8225
344,R3US9T9SV5XVJV,0.5719
345,R3NEWCLWGNYI74,0.3765
346,R3A00CVAVX2OOA,-0.4767
347,R2SUCD2ILVP5XE,0.2422
348,R36SQGV2X26IVN,0.9517
349,R1Y4EFPGX0HDWH,0.4939
350,R5DUDM9BGDJTZ,0.872
351,R1F5WMR0SIGLRE,0.8796
352,RSTNC7KGUHSJ,-0.4215
353,R2R92PF3UWNWKO,0.8953
354,R3831T9HRDIFE4,0.9685
355,R1LUIK319MP35A,0.4767
356,R33R55NIDLQZMQ,0.5719
357,R4AAJRGYV3OKA,0.1779
