,review_id,compound_unclean
181,R2ZDX4VBVP18RX,0.9773
182,R1UBJXGXL32M3U,0.6369
183,R2M2LJ7GISCJZ4,0.9932
184,R5ZGQKKWM8EZK,0.9902
185,R3Q1FG7H6RV3PX,0.998
186,R1LU6MAM378SEH,0.4404
187,R3272AX2WU9XI8,0.0
188,R25JPULLFQ7YPQ,0.6249
189,R7NWIOCA5RVPR,0.9846
190,R19FEVT1FQGVEA,0.6696
191,R1334SZ1MRLOV1,0.9512
192,REZY6JGJ99RDZ,0.0
193,RTKNIPZHVDFQW,0.4404
194,RYDDWEFO1455V,0.9634
195,R4RV6DTH4PTJA,0.8743
196,R1HI1ZGO71ZCZ7,0.7113
197,R29JDZDNRBCLAS,-0.4023
198,R1IEQJ6F4A6VKO,0.9889
199,RUG3DDTLTMQG1,0.4215
200,RCY2135PRE9JT,0.7845
201,R3M90DCSHBOWIQ,0.7004
202,R1WH2H57EIAU7E,-0.2299
203,R2RH9KLFJQKLUB,0.0
204,R339QLE6WNVRB7,0.6588
205,R2B9QG5L6SRRKU,0.9329
206,RLBHOI5D7LZN8,0.9826
207,RPSB8A2MPWMKT,0.952
208,R2BCC54Z1728KE,-0.2465
209,R1EXTDLM1DGFS,0.7845
210,R1O1F7FXVKWKHO,0.9582
211,R9SYX5GRRW5VU,-0.6478
212,R3680KPSRU144J,0.7482
213,R1R3GIK98PJKXC,0.9988
214,R273B5V02ATC55,0.7959
215,R2ZEP7M26ULTB,0.0
216,R1V0QYK52DC7LC,0.9938
217,R3GZRC0SV9KEUG,0.7335
218,R1Y4GQ0H81YIET,0.9914
219,R2BX3EK1PH98LB,-0.4748
220,RVVD40C36Q50N,0.8264
221,R2FSGPRB45J8K8,0.7922
222,R2TU2M9ODDYSIZ,-0.8544
223,R1B0RWNKK0FP61,0.8402
224,R1H1VYSIGIND73,0.9568
225,R3UIE5LA6NLA3D,0.6249
226,RM6B1HYRNT79M,0.5435
227,R3C4T6SCRAKR58,0.3054
228,R3LP5IWK66E8Y7,0.7391
229,R1KMAUA78ITFU1,0.8066
230,R3CUR1CL71HWTB,0.9405
231,R2TR30HBEZLJUS,0.0
232,R2UAKL912JZ63U,0.6988
233,R2QGRRY5GGQIOT,0.2129
234,RGMCGHXV7A8RY,0.6369
235,R2HWIG82MLBIXZ,0.6696
236,R1TB50UUBFS3A0,0.7717
237,R1JKXNK0RN1EIL,0.8554
238,RI8MLX2UIJEZU,0.5719
239,R2S8YOX0S264S2,-0.5342
240,R1KFKEPWJJBO7V,0.6249
241,R1E6O5NPDOELVG,0.784
242,R12ZN7PRTLVOG4,0.6705
243,R2W7CLG17TURB9,0.908
244,R13ZUH6W7GNTTI,0.9303
245,R1IMDHNZGXYY4D,0.6369
246,R39QJB50NMGU41,0.0258
247,RR5W1C13LUJ1C,0.9721
248,R2XVPEW5JWA7AP,0.7967
249,R2AWTYZ43AR28N,0.7951
250,R23628CKGV10AK,0.9715
251,RICRO0QP1FGKN,0.8413
252,R2ET1A8LOF7J56,0.6369
253,R1QDB4DKGTCLQG,0.5859
254,RWBMUZGYJ803Q,0.5719
255,R2TX0BE5LNN8S0,0.7351
256,R1ZPVD3PJCOXS5,0.6761
257,R1NAFRGI2EQW79,0.34
258,R9TC8HPZ4DTGF,0.8625
259,R2U173ORAYMBIL,0.5899
260,R32LLHBVBFUQY4,0.4927
261,R31M7EJT4TMHFX,0.0
262,R3VJX4N2SLG0CP,0.7906
263,R2FPQ92K24UNVX,0.5719
264,R1I1MIX2QITKEY,0.5411
265,R7DGK9I2XDQ72,0.5423
266,RXXG1R9SUIMM4,0.0
267,R228TJT2VMBC0Z,0.6249
268,R2I6PFWHZW9PHL,0.9402
269,R3N8K09VRRNMUE,0.7717
270,R2SJEJIV95IZ76,0.0
271,R3H3TMOI1A270W,0.6369
272,R31E3XA6RNPRQ6,0.8923
273,R2TW4FSXQ60M75,0.0516
274,R2W7Z63EKT2DV0,-0.8085
275,R3BK355PT51Z9N,0.8961
276,R2DWGQKFHRHIAA,0.8782
277,RWE322P2UWVFF,0.4215
278,R14TJUOG8P90JC,0.3612
279,R3F1BEEFLSEB9,0.9318
280,R5RT5T7OL37NR,0.101
281,R15121XDJ0ZIHH,0.9311
282,R2PE3TZXSV3DF,0.3182
283,R35TQMIS4SHJ4O,0.4215
284,R34L4H8TBEA35M,0.0
285,R2VM4AYAQA8VQ,0.9808
286,R1GFM41CZLHSFD,0.7168
287,R1F6HULQSTFSXG,-0.1451
288,R11PPUKKJRTLNM,0.8172
289,R1U5TN3CQMA3E8,0.4754
290,R5B9C1ZJYZBUK,0.5719
291,R30IT42Y73N1CH,-0.033
292,RUBTJESA3UCTU,0.0
293,RT0J7C76EBK2J,0.765
294,R2W4B15LHXE9VQ,0.7772
295,R3LW4NAUWYYNIP,0.4404
296,R1WN126DEQYYLR,-0.1635
297,R3HAHEAXR3OYCI,0.8718
298,RCUH18UPT3NHT,0.4215
299,RKJUDZRSNA0II,0.4019
300,R274LQW0A4KKZC,0.6114
301,R33YP325NJVHWS,0.3989
302,R1AWWHUWE440I2,0.9004
303,R3B5PD1RV0QJ7D,-0.7269
304,R1H4ALKPZRT3Q,0.8456
305,R1W17YN66WG2CN,0.9228
306,R1QLQ9JRRUYP0J,0.7906
307,RVYH880PISCFX,0.7537
308,R1L2RCLPCAN8F0,-0.8832
309,R8X36JFL5NFDM,0.8788
310,R2143XF4P84YKJ,0.9789
311,R1QR6R4MXCYKGM,0.9699
312,R39O6U6DHMWRVQ,0.2789
313,R2DDGV4CPCGTZ4,0.0
314,R297HO7F8OZVKB,0.7269
315,R1H5BN2QB8URQ2,-0.743
316,RR6808ULQDVZN,0.516
317,R2SFW1WJTYD4OS,0.287
318,R3K8WVSNCMWVHB,0.4144
319,RNKPXMWS82AIJ,0.34
320,RM8ZWXXVLYS32,0.9224
321,R1YVVLT33XVD27,0.8176
322,RNO9CB1IB1VGA,-0.5719
323,R2MGPOIDUBYGBC,0.0
324,RMYI6R8L5CD0B,0.8395
325,R2D2YRBA94G74R,0.807
326,R9OQMTBNC4XR4,0.6369
327,R22Q4RFWDQ5V3S,0.6794
328,R5N4EI6XUX63D,0.3054
329,R3P4RZL5NW2KKP,0.0516
330,RVXV17K9CHMY0,0.7096
331,R1EIZUJJGL3STY,0.6988
332,RLEKBG71OGQNU,0.905
333,R3L0T66LS9NS3X,0.5719
334,R3PODKLE0DWDG0,0.0
335,R181NXCOT0F9U2,0.0948
336,R37XX9UMWV0KUC,-0.7851
337,R5M41B4NGVZ96,0.8268
338,R3PO0SKI0RF5SI,-0.4019
339,R3TZQJONM70W7J,0.4404
340,R2B10M2L754QIH,0.0
341,R2Y2BWLMN2LBXT,0.5423
342,RSRS254DH7B50,0.1551
343,R3364OLBI1U03B,0.8316
344,R3MIW0NWXHCZCU,-0.0772
345,R3URXKXF1T47EI,0.9646
346,RGH61DYMY8TL4,0.0
347,R3FI14YZ6VIJ0N,0.9682
348,R2MUHNYPW2HWBP,0.4927
349,R2Z4G2T29D6CDA,0.9606
350,R33MTLC8Y78C1V,0.3818
351,R3VH0WTWHPPZ2J,0.6369
352,RRCQF0VCYZ6N8,0.3612
353,R2EFBNSZT9IRND,0.6606
354,R1T74V0FE1AVWM,0.9188
355,R3MX75FC2CGHOC,0.4927
356,R1OZX9WYQ940RV,0.5719
357,R1MC8VL343X9DC,0.9584
358,R38IIGZKO9AGL5,0.802
359,R3MBDE37ZV1AED,0.6249
360,R2BOH9CH0JU4VG,-0.296
361,R3G28GLRTLCRJE,0.9594
362,R250NTBVUH60R2,0.5719
363,R1UZ4ZOFKLYFTU,-0.0798
364,R1CI3NQMNHZAT2,0.858
365,RNWY6AZEHFT13,0.4927
366,R3VRSHPBHA2J6V,0.9644
367,R33RHXXUGMFYV2,0.5423
368,R2OIU8MPEGMFNJ,-0.3089
369,R1XU0GEW1CPG7F,0.9847
370,R1UJKAZ5SXV8Z3,0.9108
371,R3LQN8R6A33ODG,0.2928
372,RS9MIKBKH3WUQ,0.6682
373,R1JN3K1WLOL7GZ,0.8078
374,RAJQ4GKZOYYEQ,0.3612
375,R1OGK0PSRN5JMC,-0.4675
376,R18I571BHZ0PKC,0.6249
377,R1485XN188W1S9,0.8203
378,R1E4NGFC7ODLH2,0.8293
379,R2CAX6ZHMTAV5J,0.7717
380,R39F41AISO57V5,0.0
381,R6MQUHIX779DH,0.4404
382,REK900IFX1FG2,0.6369
